lat,lon,time range,mmsi,entry timestamp,exit timestamp,apparent fishing hours
-10,-78.5,2023-02,760018813,2023-01-01T08:00:00Z,2023-03-31T19:00:00Z,1.71
-7.5,-79.800003,2023-01,760000770,2023-01-05T02:00:00Z,2023-03-13T01:00:00Z,3.7
-8.4,-79.599998,2023-01,760009970,2023-01-01T00:00:00Z,2023-03-30T18:00:00Z,1.67
-10.4,-78.199997,2023-01,760115435,2023-01-01T15:00:00Z,2023-02-05T17:00:00Z,1.99
-9.2,-78.699997,2023-01,760000390,2023-01-01T07:00:00Z,2023-02-04T21:00:00Z,0.97
-12.6,-77,2023-01,760002940,2023-01-01T10:00:00Z,2023-02-04T16:00:00Z,6.62
-7.5,-79.900002,2023-01,760000590,2023-01-01T01:00:00Z,2023-03-26T05:00:00Z,1.62
-8.4,-79.199997,2023-01,760040300,2023-01-01T09:00:00Z,2023-02-05T15:00:00Z,1.32
-7.9,-79.599998,2023-01,760001170,2023-01-01T07:00:00Z,2023-02-09T01:00:00Z,1.69
-8.2,-79.300003,2023-01,760001700,2023-01-02T01:00:00Z,2023-03-31T23:00:00Z,6.93
-6.8,-80.300003,2023-01,760001170,2023-01-01T07:00:00Z,2023-02-09T01:00:00Z,2.63
-18,-71.099998,2023-02,789564123,2023-01-01T11:00:00Z,2023-02-26T13:00:00Z,2.49
-7.9,-79.900002,2023-02,760000070,2023-01-01T07:00:00Z,2023-03-08T20:00:00Z,14.95
-14.3,-77.599998,2023-02,760000230,2023-01-01T02:00:00Z,2023-02-27T11:00:00Z,0.72
-7.5,-79.699997,2023-01,760020285,2023-01-01T11:00:00Z,2023-02-04T19:00:00Z,7.37
-13.3,-76.400002,2023-01,760004122,2023-01-01T09:00:00Z,2023-03-19T11:00:00Z,2.45
-12.6,-76.900002,2023-01,100007791,2023-01-03T09:00:00Z,2023-03-19T15:00:00Z,0.26
-16.6,-77,2023-03,735057785,2023-02-05T01:00:00Z,2023-03-28T20:00:00Z,1.53
-14.5,-77.599998,2023-02,301240000,2023-01-01T15:00:00Z,2023-03-18T08:00:00Z,2.31
-7.7,-79.599998,2023-01,760013244,2023-01-01T21:00:00Z,2023-03-16T10:00:00Z,3.6
-7.5,-80,2023-01,760001320,2023-01-01T08:00:00Z,2023-02-09T13:00:00Z,2.2
-7.6,-79.699997,2023-01,760001863,2023-01-01T08:00:00Z,2023-02-04T20:00:00Z,4.14
-7.5,-79.699997,2023-01,760038246,2023-01-01T01:00:00Z,2023-03-12T05:00:00Z,2.08
-7.9,-79.5,2023-01,12432,2023-01-01T12:00:00Z,2023-02-07T20:00:00Z,0.78
-8.1,-79.300003,2023-01,760020862,2023-01-01T18:00:00Z,2023-02-28T23:00:00Z,1.28
-15.7,-77.599998,2023-02,760000881,2023-01-01T13:00:00Z,2023-03-01T16:00:00Z,1.91
-6.7,-80.699997,2023-01,760000590,2023-01-01T01:00:00Z,2023-03-26T05:00:00Z,0.73
-8.1,-79.599998,2023-02,760003570,2023-01-01T04:00:00Z,2023-03-31T07:00:00Z,1.49
-12.6,-76.900002,2023-02,760017362,2023-01-01T09:00:00Z,2023-03-18T16:00:00Z,3.39
-10.1,-78.300003,2023-02,760016647,2023-01-01T08:00:00Z,2023-02-04T19:00:00Z,2.83
-9.9,-78.400002,2023-01,760003510,2023-01-01T07:00:00Z,2023-03-29T20:00:00Z,8.68
-7.2,-79.800003,2023-01,760003470,2023-01-01T07:00:00Z,2023-03-29T19:00:00Z,1.49
-12.8,-77.099998,2023-01,760001250,2023-01-01T09:00:00Z,2023-03-28T16:00:00Z,0.28
-11,-77.800003,2023-01,760033663,2023-01-01T05:00:00Z,2023-02-23T13:00:00Z,0.99
-9.1,-78.699997,2023-01,760010376,2023-01-01T08:00:00Z,2023-02-04T20:00:00Z,3.08
-9.5,-79.599998,2023-03,760038246,2023-01-01T01:00:00Z,2023-03-12T05:00:00Z,0.23
-6.7,-80.400002,2023-01,760016662,2023-01-01T01:00:00Z,2023-03-25T05:00:00Z,3.34
-7.1,-80,2023-01,760000230,2023-01-01T02:00:00Z,2023-02-27T11:00:00Z,0.24
-8.3,-79.5,2023-02,760006709,2023-01-01T08:00:00Z,2023-03-28T14:00:00Z,2.43
-12.3,-79.199997,2023-02,760001310,2023-01-21T11:00:00Z,2023-03-31T21:00:00Z,3.19
-15.4,-77.699997,2023-02,100007791,2023-01-03T09:00:00Z,2023-03-19T15:00:00Z,2.02
-7.1,-80.099998,2023-01,760000670,2023-01-01T11:00:00Z,2023-02-16T00:00:00Z,4.76
-12.2,-77.099998,2023-01,760017979,2023-01-01T07:00:00Z,2023-03-29T20:00:00Z,2.61
-11.4,-77.900002,2023-01,760007800,2023-01-04T15:00:00Z,2023-03-31T11:00:00Z,0.11
-14.6,-77.599998,2023-02,760001700,2023-01-02T01:00:00Z,2023-03-31T23:00:00Z,1.03
-8.1,-79.300003,2023-02,2349,2023-01-01T09:00:00Z,2023-02-15T00:00:00Z,6.78
-13.5,-76.199997,2023-01,760000008,2023-01-01T07:00:00Z,2023-02-05T13:00:00Z,0.07
-13.6,-77.699997,2023-01,760003146,2023-01-04T08:00:00Z,2023-03-24T21:00:00Z,0.95
