lat,lon,time range,flag,vessel ids,apparent fishing hours
-15.8,-77.6,2023-03,PER,1,0.57
-16.6,-78.4,2023-03,PER,2,2.22
-6.8,-80.2,2023-01,GBR,1,3.2
-16.6,-78.1,2023-02,PER,1,5.41
-7.6,-79.7,2023-02,AIA,1,0.82
-8.7,-79.8,2023-03,PER,1,1.66
-10.8,-78.2,2023-01,AIA,1,4.88
-13.8,-76.3,2023-03,PER,1,0.03
-15.3,-76.8,2023-03,PER,1,1.19
-11.5,-77.5,2023-01,SSD,1,0.71
-14.1,-77.5,2023-02,PER,3,3.44
-15.5,-76.8,2023-03,NA,1,8.42
-13.4,-76.6,2023-01,PER,8,9.33
-9.9,-78.5,2023-01,HND,1,0.32
-11,-77.9,2023-02,PER,5,8.73
-8.2,-79.5,2023-01,PER,12,17.21
-7.9,-79.4,2023-02,NA,1,0.33
-16.6,-77.7,2023-03,ECU,1,5.66
-11.7,-78.2,2023-02,PER,1,1.23
-14.8,-77.7,2023-02,PER,10,15.77
-7.7,-79.8,2023-01,NA,1,0.67
-16.9,-78.3,2023-03,PER,4,17.94
-9,-79,2023-01,AIA,1,0.92
-6,-82.2,2023-03,ECU,2,8.4
-14.1,-76.9,2023-01,PER,1,5.9
-7.7,-82.8,2023-03,ECU,1,4.89
-11.9,-77.8,2023-02,PER,1,1.81
-16.3,-77.7,2023-03,PER,1,3.25
-11.5,-77.4,2023-01,NA,1,0.95
-16.7,-72.8,2023-02,PER,1,0.51
-11,-78.8,2023-03,PER,1,0.58
-13.5,-78.5,2023-02,PER,1,0.06
-4.5,-81.5,2023-03,ECU,1,1.99
-10.1,-78.4,2023-02,PER,16,58.48
-19.3,-75.1,2023-03,PER,1,0.8
-8.1,-80.7,2023-03,PER,1,0.96
-14.7,-77.5,2023-02,PER,15,41.65
-6.9,-81.5,2023-03,ECU,1,1.01
-12.2,-77,2023-02,PER,1,0.25
-7.8,-79.7,2023-02,AIA,1,5.88
-15.3,-75.4,2023-03,PER,2,3.22
-14,-77.3,2023-02,PER,3,1.77
-14.9,-76,2023-01,PER,3,3.38
-7.8,-79.7,2023-02,GBR,1,1.98
-3.9,-82.1,2023-02,PER,1,3.98
-3.6,-81.2,2023-02,ECU,2,1.23
-16.4,-73.8,2023-02,PER,2,5.89
-7.8,-79.6,2023-01,PER,72,171.57
-15.1,-77.6,2023-02,PER,5,9.59
-12.5,-77,2023-03,NA,1,1.22
-14.3,-76.4,2023-03,NA,1,0.7
-11.7,-78,2023-03,PER,2,6.15
-6.9,-81.3,2023-03,PER,1,0.19
-15.8,-78,2023-03,ECU,2,7.62
-3.5,-80.8,2023-02,PER,1,0.29
-10.8,-78.4,2023-03,PER,2,4.36
-13.2,-77.4,2023-03,PER,1,0.32
-15.7,-77.6,2023-02,PER,7,11.97
-5.6,-82.6,2023-03,ECU,1,5.21
-10.8,-78.1,2023-02,PER,1,1.95
-12,-80.7,2023-02,PER,1,0.67
-7.6,-79.6,2023-01,PER,66,178.56
-17.2,-77.5,2023-02,NA,1,2.35
-12.4,-76.8,2023-03,USA,1,3.85
-15.2,-76.8,2023-02,PER,10,20.56
-10.3,-79.3,2023-02,PER,1,6.16
-11.1,-78,2023-03,PER,1,0.46
-15.6,-75.1,2023-03,PER,1,1.4
-14,-78.1,2023-02,PER,2,0.19
-6.6,-81.2,2023-01,PER,1,1.03
-8.6,-80.5,2023-02,PER,1,1.74
-11.1,-78.3,2023-01,PER,3,1.64
-11.3,-78.2,2023-03,PER,1,0.87
-17.1,-78.3,2023-02,PER,1,3.17
-17.7,-76.5,2023-03,ECU,1,0.37
-8,-79.3,2023-01,PER,27,63.76
-14.9,-75.6,2023-02,PER,2,1.49
-13.2,-77.8,2023-01,PER,2,3.26
-8.4,-79,2023-02,NA,1,1.21
-10.6,-78.7,2023-03,PER,1,0.62
-13.7,-76.6,2023-01,PER,46,75.08
-15,-75.7,2023-02,NA,1,1.61
-8.8,-79.1,2023-01,PER,2,7
-10.1,-80.9,2023-02,PER,2,9.35
-11.7,-77.3,2023-01,NA,1,9.94
-10.9,-79.3,2023-03,PER,1,0.39
-16.9,-77,2023-03,PER,3,6.08
-7.7,-79.8,2023-01,HND,1,4.45
-13.2,-77.2,2023-03,PER,1,0.24
-16.1,-77.8,2023-02,ECU,1,5
-8.6,-79.6,2023-01,PER,2,3.77
-12.5,-78.7,2023-03,PER,4,13.52
-8.4,-79.2,2023-01,PER,57,94.13
-10,-81.5,2023-02,PER,1,2.01
-8.5,-82.9,2023-03,ECU,1,0.31
-17.4,-71.5,2023-02,NA,1,0.77
-12.9,-79.5,2023-03,PER,1,1.37
-8.9,-79.3,2023-02,PER,1,3.33
-9,-79.2,2023-02,PER,1,3.66
-8.9,-80.2,2023-02,PER,1,3.5
-15.2,-77.2,2023-02,PER,11,52.25
-6.6,-80.8,2023-01,PER,61,224.22
-11.4,-78,2023-03,PER,1,0.59
-15.4,-78.8,2023-02,PER,1,8.03
-10.7,-77.9,2023-01,PER,16,41.82
-12,-78.2,2023-02,PER,1,1.44
-8.1,-79.4,2023-01,PER,75,232.74
-9.4,-78.8,2023-01,PER,3,2.03
-7.6,-79.7,2023-02,NA,2,4.15
-15.8,-75.5,2023-03,PER,1,0.24
-11.3,-78.6,2023-03,PER,1,1.54
-14.2,-77.1,2023-03,PER,2,1.39
-12.7,-77.9,2023-02,PER,1,0.53
-14.2,-77.4,2023-02,PER,1,0.24
-9.8,-78.4,2023-02,PER,5,2.48
-16.2,-78.3,2023-02,ECU,1,1.22
-11.7,-77.7,2023-01,PER,9,7.16
-9.3,-80.2,2023-03,PER,9,42.62
-7.6,-80,2023-03,PER,1,0.18
-14,-78,2023-02,PER,3,9.77
-15.6,-75,2023-03,PER,2,11.74
-11.1,-78.1,2023-03,PER,1,2.01
-17,-78,2023-03,ECU,1,0.52
-9.6,-78.9,2023-02,PER,1,1.43
-8,-79.4,2023-02,PER,4,2.08
-16.4,-78,2023-03,PER,1,0.64
-6.4,-81.5,2023-03,ECU,1,2.15
-10.8,-78,2023-02,PER,1,3.1
-5.6,-82.5,2023-03,ECU,1,4.62
-14.7,-78,2023-02,ECU,1,0.01
-11.7,-77.3,2023-03,PER,3,1.2
-12.2,-77.4,2023-03,PER,2,6.55
-9.3,-78.6,2023-02,PER,2,2.47
-14.7,-77.6,2023-02,PER,4,3.71
-9.3,-78.7,2023-01,GBR,1,0.08
-3.8,-81.9,2023-03,ECU,1,0.24
-17.3,-71.7,2023-03,PER,2,5.7
-8.4,-81.9,2023-03,NA,1,0.04
-17,-77.6,2023-03,PER,2,4.7
-9.8,-79.8,2023-02,PER,1,3.66
-14.2,-76.8,2023-02,PER,1,2.01
-6.1,-81.2,2023-01,PER,10,17.18
-4,-82.4,2023-02,PER,1,0.06
-7.5,-84,2023-03,ECU,1,0.21
-18.1,-70.9,2023-02,NA,1,0.6
-3.7,-83.5,2023-03,ECU,1,0.24
-11.4,-78.2,2023-02,PER,1,4.09
-7.1,-80.1,2023-03,PER,1,0.37
-16.5,-77.7,2023-03,ECU,2,0.9
-13.7,-76.8,2023-01,SSD,1,4.31
-6.1,-83.1,2023-01,PAN,1,0.56
-11.2,-77.8,2023-02,PER,4,15.99
-15.5,-75.2,2023-01,PER,1,1.53
-13,-76.7,2023-01,HND,1,3.32
-13.7,-77.5,2023-03,PER,1,0.28
-12.9,-76.8,2023-01,HND,1,1.46
-16.8,-78.4,2023-02,PER,1,7.75
-10.4,-78.7,2023-01,HND,1,0.35
-16.8,-78.1,2023-03,PER,2,4.94
-15.1,-77.2,2023-02,PER,6,11.78
-11.5,-77.5,2023-01,NA,4,10.52
-15.9,-77.9,2023-03,PER,2,12.03
-7.7,-79.6,2023-01,PER,73,247.95
-8.2,-79.4,2023-01,PER,40,63.57
-14.3,-76.5,2023-01,PER,1,0.86
-7.5,-79.7,2023-01,NA,3,4.85
-15.5,-77.7,2023-02,NA,1,2.69
-7.9,-79.6,2023-02,GBR,1,2.36
-15.3,-77.7,2023-02,PER,21,52.08
-7.9,-79.7,2023-01,PER,19,36.11
-14,-77.4,2023-01,PER,3,6.19
-10.2,-78.2,2023-02,PER,1,0.81
-16.5,-77.8,2023-03,PER,2,3.85
-16.7,-78.6,2023-03,ECU,1,0.12
-14.4,-77,2023-03,PER,3,6.17
-15.4,-77.1,2023-03,PER,10,27.5
-7,-80.4,2023-01,PER,7,5.86
-4.3,-81.7,2023-02,PER,1,1.13
-15.4,-77.4,2023-02,PER,5,12.11
-13.1,-77.2,2023-03,PER,1,0.21
-13.2,-79.2,2023-03,PER,1,0.25
-13.9,-77.9,2023-02,PER,1,3.93
-16.7,-77,2023-03,PER,3,23.27
-6.4,-81,2023-01,PER,14,22.61
-6.9,-80.1,2023-01,GBR,1,2.48
-12.4,-77.2,2023-01,NA,4,2.68
-11,-77.8,2023-01,PER,27,49.03
-12,-77.1,2023-01,PER,20,89.51
-14.9,-77.3,2023-03,NA,1,2.96
-18,-71.1,2023-02,PER,7,11.39
-13.1,-77.8,2023-01,PER,2,11.53
-14.9,-77.5,2023-02,PER,2,1.18
-8.1,-79.7,2023-02,HND,1,2.95
-6.9,-82.1,2023-02,PAN,1,0.18
-13.4,-76.2,2023-01,PER,1,1.04
-16.8,-77.5,2023-03,ECU,1,2.97
-13.6,-76.6,2023-01,PER,6,8
-15.5,-79,2023-03,ECU,1,0.35
-14,-77.1,2023-02,NA,1,2.1
-7.5,-79.9,2023-01,GBR,1,2
-16.6,-77.1,2023-03,ECU,1,0.49
-12.3,-77.6,2023-02,PER,1,2
-14.8,-77.1,2023-02,PER,4,10.59
-12.2,-77.3,2023-01,CHN,1,1.2
-10.9,-78,2023-01,AIA,1,0.89
-14,-76.6,2023-01,SSD,1,5.37
-4.4,-82.6,2023-03,ECU,1,0.74
-15.8,-78.6,2023-02,ECU,1,0.08
-14.3,-76.5,2023-03,NA,1,6.3
-14.8,-77.4,2023-03,PER,1,0.64
-7.5,-79.7,2023-03,PER,1,5.13
-12.3,-77.9,2023-03,PER,1,0.43
-13.4,-79.3,2023-03,ESP,1,1.94
-15.1,-77,2023-03,PER,1,0.99
-5.3,-81.5,2023-02,PER,1,17.53
-12,-77.3,2023-01,SSD,1,1.35
-7.9,-80,2023-02,PER,8,13.96
-15.5,-77.3,2023-02,PER,3,10.12
-16.2,-77.9,2023-02,ECU,1,2.61
-13,-77.8,2023-02,PER,1,2.64
-3.4,-81.4,2023-03,ECU,1,1
-13.9,-76.5,2023-01,PER,21,53.67
-9.4,-78.6,2023-01,HND,1,1.71
-3.5,-81.3,2023-02,ECU,1,0.22
-12.1,-77.1,2023-02,PER,1,12.33
-7.5,-80.2,2023-01,PER,1,0.01
-14.6,-77.6,2023-02,PER,4,12.12
-13.9,-78.2,2023-02,ECU,1,0.13
-12.9,-77.7,2023-02,PER,3,2.59
-14.4,-77.2,2023-02,PER,2,2.75
-12.1,-77.4,2023-03,PER,3,8.28
-15,-76.4,2023-03,PER,1,1.24
-13.4,-80.1,2023-02,ECU,1,0.72
-8.2,-79.1,2023-02,NA,2,3.54
-8,-79.7,2023-01,HND,1,1.8
-9.9,-78.4,2023-01,AIA,1,0.85
-13.5,-77.7,2023-01,PER,1,0.31
-7.4,-79.9,2023-01,PER,49,129.06
-9.7,-78.9,2023-02,PER,1,2.31
-14.3,-77.9,2023-02,PER,1,0.42
-15.7,-75,2023-03,PER,1,1.1
-4,-83.5,2023-03,ECU,1,0.14
-14.5,-77.6,2023-03,NA,1,3.74
-6.3,-81.3,2023-02,PER,1,0.3
-13.4,-76.2,2023-03,NA,1,0.47
-15.6,-77.5,2023-02,PER,3,4.13
-13.1,-77,2023-02,PER,7,9.89
-12.9,-76.6,2023-01,PER,15,32.71
-12.2,-77.3,2023-02,HND,1,0.17
-9.7,-81.1,2023-01,PER,1,2.18
-7.4,-80.1,2023-02,PER,1,3.15
-14.7,-77.8,2023-02,HND,1,1.71
-12.6,-77.9,2023-02,PER,1,1.21
-14.1,-77.4,2023-02,PER,1,4.3
-12.4,-77.2,2023-03,PER,3,7.99
-9.3,-78.8,2023-02,HND,1,1.71
-14.1,-77.1,2023-03,PER,2,2.33
-12.6,-77.6,2023-03,PER,1,0.96
-5.7,-81.2,2023-02,PER,2,1.23
-17,-78.3,2023-02,PER,1,1.28
-4,-81.8,2023-02,PER,1,1.34
-9.9,-78.4,2023-01,HND,1,13.26
-14.6,-76.3,2023-03,PER,1,3.53
-12.2,-78.8,2023-03,PER,7,9.58
-15.3,-76.6,2023-03,NA,1,1.97
-11.8,-77.8,2023-03,PER,1,3.78
-9.4,-78.6,2023-01,AIA,1,0.47
-13.3,-77.5,2023-02,PER,1,0.07
